matchId,stadiumId,homeTeam,awayTeam,matchDate,matchTime,status
MATCH001,STD001,Ha Noi FC,Hoang Anh Gia Lai,2026-06-15,16:00,COMPLETED
MATCH002,STD001,Nam Dinh FC,Thanh Hoa FC,2026-07-20,18:00,SCHEDULED
MATCH003,STD001,Binh Duong FC,Viettel FC,2026-07-27,19:30,SCHEDULED
MATCH004,STD001,Song Lam Nghe An,Can Tho FC,2026-08-03,20:00,SCHEDULED
MATCH005,STD002,Hoang Anh Gia Lai,Thanh Hoa FC,2026-06-15,16:00,COMPLETED
MATCH006,STD002,Long An FC,Da Nang FC,2026-08-17,18:00,SCHEDULED
MATCH007,STD002,Binh Duong FC,Nam Dinh FC,2026-08-24,19:30,SCHEDULED
MATCH008,STD002,Ha Noi FC,Viettel FC,2026-08-31,20:00,SCHEDULED
MATCH009,STD003,Da Nang FC,Nam Dinh FC,2026-06-15,16:00,COMPLETED
MATCH010,STD003,Hai Phong FC,Can Tho FC,2026-09-14,18:00,SCHEDULED
MATCH011,STD003,Viettel FC,Hoang Anh Gia Lai,2026-09-21,19:30,SCHEDULED
MATCH012,STD003,Thanh Hoa FC,Song Lam Nghe An,2026-09-28,20:00,SCHEDULED
