seatId,sectionId,matchId,rowLabel,seatNumber,status,version
SEAT000001,SEC001,MATCH001,A,1,AVAILABLE,3
SEAT000002,SEC001,MATCH001,A,2,AVAILABLE,0
SEAT000003,SEC001,MATCH001,A,3,AVAILABLE,0
SEAT000004,SEC001,MATCH001,A,4,AVAILABLE,0
SEAT000005,SEC001,MATCH001,A,5,AVAILABLE,0
SEAT000006,SEC001,MATCH001,A,6,AVAILABLE,0
SEAT000007,SEC001,MATCH001,A,7,AVAILABLE,0
SEAT000008,SEC001,MATCH001,A,8,AVAILABLE,0
SEAT000009,SEC001,MATCH001,A,9,AVAILABLE,0
SEAT000010,SEC001,MATCH001,A,10,AVAILABLE,0
SEAT000011,SEC001,MATCH001,A,11,AVAILABLE,0
SEAT000012,SEC001,MATCH001,A,12,AVAILABLE,0
SEAT000013,SEC001,MATCH001,A,13,AVAILABLE,0
SEAT000014,SEC001,MATCH001,A,14,AVAILABLE,0
SEAT000015,SEC001,MATCH001,A,15,AVAILABLE,0
SEAT000016,SEC001,MATCH001,A,16,AVAILABLE,0
SEAT000017,SEC001,MATCH001,A,17,AVAILABLE,0
SEAT000018,SEC001,MATCH001,A,18,AVAILABLE,0
SEAT000019,SEC001,MATCH001,A,19,AVAILABLE,0
SEAT000020,SEC001,MATCH001,A,20,AVAILABLE,0
SEAT000021,SEC001,MATCH001,B,1,AVAILABLE,0
SEAT000022,SEC001,MATCH001,B,2,AVAILABLE,0
SEAT000023,SEC001,MATCH001,B,3,AVAILABLE,0
SEAT000024,SEC001,MATCH001,B,4,AVAILABLE,0
SEAT000025,SEC001,MATCH001,B,5,AVAILABLE,0
SEAT000026,SEC001,MATCH001,B,6,AVAILABLE,0
SEAT000027,SEC001,MATCH001,B,7,AVAILABLE,0
SEAT000028,SEC001,MATCH001,B,8,AVAILABLE,0
SEAT000029,SEC001,MATCH001,B,9,AVAILABLE,0
SEAT000030,SEC001,MATCH001,B,10,AVAILABLE,0
SEAT000031,SEC001,MATCH001,B,11,AVAILABLE,0
SEAT000032,SEC001,MATCH001,B,12,AVAILABLE,0
SEAT000033,SEC001,MATCH001,B,13,AVAILABLE,0
SEAT000034,SEC001,MATCH001,B,14,AVAILABLE,0
SEAT000035,SEC001,MATCH001,B,15,AVAILABLE,0
SEAT000036,SEC001,MATCH001,B,16,AVAILABLE,0
SEAT000037,SEC001,MATCH001,B,17,AVAILABLE,0
SEAT000038,SEC001,MATCH001,B,18,AVAILABLE,0
SEAT000039,SEC001,MATCH001,B,19,AVAILABLE,0
SEAT000040,SEC001,MATCH001,B,20,AVAILABLE,0
SEAT000041,SEC001,MATCH001,C,1,AVAILABLE,0
SEAT000042,SEC001,MATCH001,C,2,AVAILABLE,0
SEAT000043,SEC001,MATCH001,C,3,AVAILABLE,0
SEAT000044,SEC001,MATCH001,C,4,AVAILABLE,0
SEAT000045,SEC001,MATCH001,C,5,AVAILABLE,0
SEAT000046,SEC001,MATCH001,C,6,AVAILABLE,0
SEAT000047,SEC001,MATCH001,C,7,AVAILABLE,0
SEAT000048,SEC001,MATCH001,C,8,AVAILABLE,0
SEAT000049,SEC001,MATCH001,C,9,AVAILABLE,0
SEAT000050,SEC001,MATCH001,C,10,AVAILABLE,0
SEAT000051,SEC001,MATCH001,C,11,AVAILABLE,0
SEAT000052,SEC001,MATCH001,C,12,AVAILABLE,0
SEAT000053,SEC001,MATCH001,C,13,AVAILABLE,0
SEAT000054,SEC001,MATCH001,C,14,AVAILABLE,0
SEAT000055,SEC001,MATCH001,C,15,AVAILABLE,0
SEAT000056,SEC001,MATCH001,C,16,AVAILABLE,0
SEAT000057,SEC001,MATCH001,C,17,AVAILABLE,0
SEAT000058,SEC001,MATCH001,C,18,AVAILABLE,0
SEAT000059,SEC001,MATCH001,C,19,AVAILABLE,0
SEAT000060,SEC001,MATCH001,C,20,AVAILABLE,0
SEAT000061,SEC001,MATCH001,D,1,AVAILABLE,0
SEAT000062,SEC001,MATCH001,D,2,AVAILABLE,0
SEAT000063,SEC001,MATCH001,D,3,AVAILABLE,0
SEAT000064,SEC001,MATCH001,D,4,AVAILABLE,0
SEAT000065,SEC001,MATCH001,D,5,AVAILABLE,0
SEAT000066,SEC001,MATCH001,D,6,AVAILABLE,0
SEAT000067,SEC001,MATCH001,D,7,AVAILABLE,0
SEAT000068,SEC001,MATCH001,D,8,AVAILABLE,0
SEAT000069,SEC001,MATCH001,D,9,AVAILABLE,0
SEAT000070,SEC001,MATCH001,D,10,AVAILABLE,0
SEAT000071,SEC001,MATCH001,D,11,AVAILABLE,0
SEAT000072,SEC001,MATCH001,D,12,AVAILABLE,0
SEAT000073,SEC001,MATCH001,D,13,AVAILABLE,0
SEAT000074,SEC001,MATCH001,D,14,AVAILABLE,0
