mechanism,threads,success,failed,doubleBooked,timeMs,tps
NO_LOCK,10,10,0,9,548,18,25
FILE_LOCK,10,1,9,0,5188,0,19
SYNCHRONIZED,10,1,9,0,217,4,61
OPTIMISTIC,10,1,9,0,264,3,79
NO_LOCK,50,16,34,15,960,16,67
FILE_LOCK,50,1,49,0,8122,0,12
SYNCHRONIZED,50,1,49,0,677,1,48
OPTIMISTIC,50,3,47,2,604,4,97
NO_LOCK,100,16,84,15,1204,13,29
FILE_LOCK,100,1,99,0,10926,0,09
SYNCHRONIZED,100,1,99,0,863,1,16
OPTIMISTIC,100,2,98,1,951,2,10
NO_LOCK,200,5,195,4,1975,2,53
FILE_LOCK,200,1,199,0,20377,0,05
SYNCHRONIZED,200,1,199,0,2975,0,34
OPTIMISTIC,200,3,197,2,2516,1,19
NO_LOCK,500,16,484,15,5121,3,12
FILE_LOCK,500,1,499,0,29874,0,03
SYNCHRONIZED,500,1,499,0,5831,0,17
OPTIMISTIC,500,2,498,1,6409,0,31
NO_LOCK,1000,16,984,15,11943,1,34
FILE_LOCK,1000,1,999,0,29742,0,03
SYNCHRONIZED,1000,1,999,0,9315,0,11
OPTIMISTIC,1000,1,999,0,11809,0,08
