transactionId,fanId,matchId,numberOfTickets,totalAmount,status,mechanism,createdAt,durationMs
TXN00003060,FAN_SIM_59,MATCH002,1,500000,SUCCESS,OPTIMISTIC,2026-07-19 04:51:07,298
TXN00003065,FAN_SIM_64,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,37
TXN00003032,FAN_SIM_10,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,353
TXN00003066,FAN_SIM_65,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,21
TXN00003067,FAN_SIM_66,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,16
TXN00003049,FAN_SIM_49,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,370
TXN00003068,FAN_SIM_67,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,19
TXN00003069,FAN_SIM_68,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,16
TXN00003048,FAN_SIM_21,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,385
TXN00003071,FAN_SIM_70,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,14
TXN00003070,FAN_SIM_69,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,25
TXN00003072,FAN_SIM_71,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,14
TXN00003073,FAN_SIM_72,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,14
TXN00003074,FAN_SIM_73,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,13
TXN00003057,FAN_SIM_56,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,407
TXN00003076,FAN_SIM_75,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,12
TXN00003077,FAN_SIM_76,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,13
TXN00003075,FAN_SIM_74,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,22
TXN00003078,FAN_SIM_77,MATCH002,1,500000,FAILED,OPTIMISTIC,2026-07-19 04:51:07,11
